county,borough,lang_family,language,2005,2010,2015,2019,difference,percent_change
47,Brooklyn,Indo-European,Spanish,398837.0,401318.0,399775.0,363599.0,-35238.0,-8.835188310011358
47,Brooklyn,Indo-European,Italian,31917.0,26724.0,20010.0,16555.0,-15362.0,-48.1310900147257
47,Brooklyn,Indo-European,Russian,137872.0,128288.0,128359.0,123340.0,-14532.0,-10.54021121039805
47,Brooklyn,Indo-European,Polish,26911.0,25269.0,19956.0,13089.0,-13822.0,-51.3618966221991
47,Brooklyn,Indo-European,Other Indic,14490.0,19642.0,24167.0,2610.0,-11880.0,-81.98757763975155
47,Brooklyn,Asian and Pacific Island,Chinese,125123.0,163961.0,181712.0,173022.0,47899.0,38.28153097352205
47,Brooklyn,Indo-European,Urdu,9481.0,13557.0,21199.0,19384.0,9903.0,104.45100727771333
47,Brooklyn,Asian and Pacific Island,Other Asian,7217.0,9929.0,14820.0,13704.0,6487.0,89.88499376472218
47,Brooklyn,Other,Other African,9193.0,14538.0,14812.0,12570.0,3377.0,36.734471880778855
47,Brooklyn,Other,Arabic,27351.0,22154.0,29893.0,30680.0,3329.0,12.171401411282952
